feature,coef,abs_coef
acquisition_channel_discord,-0.7940146420497248,0.7940146420497248
industry_HomeGoods,0.6460656650990926,0.6460656650990926
acquisition_channel_twitter,0.6172915981498599,0.6172915981498599
country_CA,0.5091671535429121,0.5091671535429121
country_GB,-0.49484514414938385,0.49484514414938385
industry_None,-0.4765071063283939,0.4765071063283939
country_NZ,0.4600139259614341,0.4600139259614341
sms_fail_rate_30d,0.3536072168009749,0.3536072168009749
country_US,-0.2803490573044198,0.2803490573044198
days_since_last_dashboard,0.27412997679858364,0.27412997679858364
industry_Beauty,-0.19517438844597246,0.19517438844597246
country_AU,-0.19220931827227758,0.19220931827227758
integration_errors_30d,0.18684496203558915,0.18684496203558915
industry_Sports,-0.1660409510982082,0.1660409510982082
industry_Apparel,0.16255971655790438,0.16255971655790438
acquisition_channel_unknown,0.11982623653110576,0.11982623653110576
sms_failed_30d,0.06692148334559704,0.06692148334559704
acquisition_channel_organic,0.05330466779953797,0.05330466779953797
recovered_sales_30d,-0.03969946134823266,0.03969946134823266
industry_Tech,0.030874623993799227,0.030874623993799227
dashboard_views_30d,-0.005570144712805976,0.005570144712805976
acquisition_channel_referral,0.005369699347405178,0.005369699347405178
roi_ratio_30d,-0.001368946943040539,0.001368946943040539
sms_sent_30d,0.0011007802399497744,0.0011007802399497744
